vendor_id,vendor_name,vendor_type,weeks,request_volume,avg_actual_hours,avg_sla_compliance,breach_weeks,breach_rate_pct
VEN0020,Preferred Service Vendor 020,Preferred,105,472157,9.010095238095237,0.9180952380952382,66,62.857142857142854
VEN0021,Preferred Service Vendor 021,Strategic,105,405961,13.274285714285714,0.8949666666666667,63,60.0
VEN0022,Preferred Service Vendor 022,Standard,105,446619,13.128857142857143,0.9001571428571428,64,60.952380952380956
VEN0023,Preferred Service Vendor 023,Standard,105,448566,27.00038095238095,0.7856238095238095,74,70.47619047619048
VEN0024,Preferred Service Vendor 024,Preferred,105,431675,26.71104761904762,0.7931047619047619,67,63.8095238095238
VEN0025,Preferred Service Vendor 025,Preferred,105,447821,2.1502857142857144,0.9751571428571428,56,53.333333333333336
VEN0026,Preferred Service Vendor 026,Strategic,105,419946,9.211428571428572,0.9197714285714287,74,70.47619047619048
VEN0027,Preferred Service Vendor 027,Preferred,105,440628,13.183238095238096,0.8963238095238095,64,60.952380952380956
VEN0028,Preferred Service Vendor 028,Strategic,105,447830,9.015142857142857,0.9239333333333334,72,68.57142857142857
VEN0029,Preferred Service Vendor 029,Preferred,105,441650,13.039904761904763,0.900695238095238,62,59.04761904761905
VEN0030,Preferred Service Vendor 030,Preferred,105,424759,13.046285714285712,0.9011285714285714,60,57.14285714285714
VEN0031,Preferred Service Vendor 031,Preferred,105,455064,27.373428571428573,0.7655142857142858,70,66.66666666666666
VEN0032,Preferred Service Vendor 032,Preferred,105,450848,4.514095238095238,0.957947619047619,65,61.904761904761905
VEN0033,Preferred Service Vendor 033,Preferred,105,417503,8.871333333333334,0.9269952380952381,60,57.14285714285714
VEN0034,Preferred Service Vendor 034,Preferred,105,430011,8.748571428571429,0.9291571428571428,65,61.904761904761905
VEN0035,Preferred Service Vendor 035,Preferred,105,437880,8.860095238095237,0.9280428571428572,64,60.952380952380956
VEN0036,Preferred Service Vendor 036,Standard,105,451876,13.41990476190476,0.882,64,60.952380952380956
VEN0037,Preferred Service Vendor 037,Preferred,105,422674,2.3722857142857143,0.970195238095238,62,59.04761904761905
VEN0038,Preferred Service Vendor 038,Standard,105,438161,2.074666666666667,0.9773095238095239,50,47.61904761904761
VEN0039,Preferred Service Vendor 039,Strategic,105,429840,13.194380952380953,0.8986238095238096,67,63.8095238095238
VEN0040,Preferred Service Vendor 040,Standard,105,437436,4.456952380952381,0.9611095238095237,68,64.76190476190476
VEN0041,Preferred Service Vendor 041,Preferred,105,463119,26.32895238095238,0.8054857142857142,67,63.8095238095238
VEN0042,Preferred Service Vendor 042,Standard,105,426440,4.2865714285714285,0.963795238095238,63,60.0
VEN0043,Preferred Service Vendor 043,Preferred,105,446132,9.204190476190476,0.9173666666666667,72,68.57142857142857
VEN0044,Preferred Service Vendor 044,Preferred,105,442323,2.1126666666666667,0.9762190476190477,54,51.42857142857142
VEN0045,Preferred Service Vendor 045,Preferred,105,434573,9.123904761904761,0.9182142857142856,69,65.71428571428571
VEN0046,Preferred Service Vendor 046,Preferred,105,449541,13.309619047619048,0.8979380952380953,69,65.71428571428571
VEN0047,Preferred Service Vendor 047,Preferred,105,458835,4.327619047619048,0.9658904761904762,60,57.14285714285714
VEN0048,Preferred Service Vendor 048,Preferred,105,456005,8.905142857142856,0.9265619047619048,68,64.76190476190476
VEN0049,Preferred Service Vendor 049,Strategic,105,435697,4.322571428571429,0.9643904761904761,55,52.38095238095239
VEN0050,Preferred Service Vendor 050,Strategic,105,431887,2.1938095238095237,0.9766857142857144,59,56.19047619047619
VEN0051,Preferred Service Vendor 051,Strategic,105,431118,2.2698095238095237,0.9718428571428571,64,60.952380952380956
VEN0052,Preferred Service Vendor 052,Strategic,105,431323,13.772095238095238,0.8820904761904762,71,67.61904761904762
VEN0053,Preferred Service Vendor 053,Preferred,105,455427,8.917714285714286,0.9272714285714286,66,62.857142857142854
VEN0054,Preferred Service Vendor 054,Preferred,105,451219,13.410857142857143,0.8903428571428572,67,63.8095238095238
VEN0055,Preferred Service Vendor 055,Standard,105,438450,8.685714285714285,0.9337047619047619,65,61.904761904761905
VEN0056,Preferred Service Vendor 056,Strategic,105,443676,4.298,0.9629761904761904,60,57.14285714285714
VEN0057,Preferred Service Vendor 057,Standard,105,457614,13.026190476190477,0.9013809523809524,64,60.952380952380956
VEN0058,Preferred Service Vendor 058,Standard,105,423719,27.22057142857143,0.778195238095238,72,68.57142857142857
VEN0059,Preferred Service Vendor 059,Standard,105,435847,26.55685714285714,0.7979285714285714,69,65.71428571428571
VEN0060,Preferred Service Vendor 060,Strategic,105,436243,8.76095238095238,0.9290238095238095,63,60.0
VEN0061,Preferred Service Vendor 061,Standard,105,448286,8.728190476190477,0.9337809523809524,60,57.14285714285714
VEN0062,Preferred Service Vendor 062,Standard,105,434901,8.734761904761905,0.927952380952381,58,55.23809523809524
VEN0063,Preferred Service Vendor 063,Standard,105,431602,4.4877142857142855,0.9574809523809523,67,63.8095238095238
VEN0064,Preferred Service Vendor 064,Preferred,105,407384,2.3015238095238093,0.9726190476190476,62,59.04761904761905
VEN0065,Preferred Service Vendor 065,Standard,105,411443,8.934190476190476,0.9250333333333334,67,63.8095238095238
VEN0066,Preferred Service Vendor 066,Standard,105,447176,4.3859047619047615,0.9616571428571429,61,58.0952380952381
VEN0067,Preferred Service Vendor 067,Preferred,105,424770,4.2272380952380955,0.9689857142857142,56,53.333333333333336
VEN0068,Preferred Service Vendor 068,Preferred,105,440447,13.357619047619048,0.8911666666666667,64,60.952380952380956
VEN0069,Preferred Service Vendor 069,Standard,105,426069,8.847142857142858,0.9265142857142857,64,60.952380952380956
VEN0070,Preferred Service Vendor 070,Preferred,105,423700,26.404380952380954,0.7962238095238094,65,61.904761904761905
VEN0071,Preferred Service Vendor 071,Strategic,105,444585,13.344476190476191,0.8920904761904762,68,64.76190476190476
VEN0072,Preferred Service Vendor 072,Preferred,105,446817,13.351714285714287,0.888595238095238,66,62.857142857142854
VEN0073,Preferred Service Vendor 073,Standard,105,429194,8.482095238095239,0.9395333333333333,60,57.14285714285714
VEN0074,Preferred Service Vendor 074,Standard,105,444123,9.150571428571428,0.9209714285714286,74,70.47619047619048
VEN0075,Preferred Service Vendor 075,Strategic,105,446752,9.018285714285714,0.9244,65,61.904761904761905
VEN0076,Preferred Service Vendor 076,Standard,105,459727,8.990095238095238,0.9222809523809524,65,61.904761904761905
VEN0077,Preferred Service Vendor 077,Standard,105,452719,4.174571428571428,0.9650761904761904,58,55.23809523809524
VEN0078,Preferred Service Vendor 078,Standard,105,442015,8.891333333333334,0.9249952380952381,65,61.904761904761905
VEN0079,Preferred Service Vendor 079,Preferred,105,429448,8.455714285714286,0.9371142857142858,57,54.285714285714285
VEN0080,Preferred Service Vendor 080,Standard,105,428682,13.495999999999999,0.881104761904762,66,62.857142857142854
VEN0081,Preferred Service Vendor 081,Standard,105,452081,9.049238095238096,0.921752380952381,67,63.8095238095238
VEN0082,Preferred Service Vendor 082,Preferred,105,446894,2.326952380952381,0.9679428571428571,59,56.19047619047619
VEN0083,Preferred Service Vendor 083,Preferred,105,431699,24.880095238095237,0.8469476190476191,54,51.42857142857142
VEN0084,Preferred Service Vendor 084,Strategic,105,429929,13.042761904761905,0.8986047619047619,65,61.904761904761905
VEN0085,Preferred Service Vendor 085,Preferred,105,441424,2.3146666666666667,0.9705380952380952,66,62.857142857142854
VEN0086,Preferred Service Vendor 086,Preferred,105,432440,8.728666666666667,0.9306952380952381,64,60.952380952380956
VEN0087,Preferred Service Vendor 087,Strategic,105,439498,4.398095238095238,0.9580095238095238,62,59.04761904761905
VEN0088,Preferred Service Vendor 088,Preferred,105,449421,13.602,0.8820666666666667,69,65.71428571428571
VEN0089,Preferred Service Vendor 089,Preferred,105,453264,2.148952380952381,0.9767523809523809,59,56.19047619047619
VEN0090,Preferred Service Vendor 090,Preferred,105,443077,8.917809523809524,0.9250952380952382,71,67.61904761904762
VEN0091,Preferred Service Vendor 091,Strategic,105,445815,4.392476190476191,0.9580428571428571,56,53.333333333333336
VEN0092,Preferred Service Vendor 092,Preferred,105,459441,4.30552380952381,0.9665428571428571,62,59.04761904761905
VEN0093,Preferred Service Vendor 093,Preferred,105,427189,27.60628571428571,0.7400380952380952,66,62.857142857142854
VEN0094,Preferred Service Vendor 094,Strategic,105,424365,13.513428571428571,0.8932904761904762,68,64.76190476190476
VEN0095,Preferred Service Vendor 095,Preferred,105,444550,4.266190476190476,0.9642190476190475,57,54.285714285714285
VEN0096,Preferred Service Vendor 096,Preferred,105,414331,9.144285714285713,0.9153,66,62.857142857142854
VEN0097,Preferred Service Vendor 097,Standard,105,435986,4.494761904761905,0.9572809523809523,61,58.0952380952381
VEN0098,Preferred Service Vendor 098,Strategic,105,454576,8.983619047619047,0.9315904761904761,68,64.76190476190476
VEN0099,Preferred Service Vendor 099,Preferred,105,428711,25.707238095238097,0.8247904761904762,63,60.0
VEN0100,Preferred Service Vendor 100,Preferred,105,440855,8.549619047619048,0.9389428571428571,57,54.285714285714285
VEN0101,Preferred Service Vendor 101,Preferred,105,428908,26.810190476190478,0.7889047619047619,65,61.904761904761905
VEN0102,Preferred Service Vendor 102,Strategic,105,450267,13.071047619047619,0.8972523809523809,61,58.0952380952381
VEN0103,Preferred Service Vendor 103,Strategic,105,445911,8.794761904761906,0.9303761904761905,64,60.952380952380956
VEN0104,Preferred Service Vendor 104,Strategic,105,422575,4.279428571428571,0.9664190476190476,59,56.19047619047619
VEN0105,Preferred Service Vendor 105,Preferred,105,431451,2.116761904761905,0.9772,56,53.333333333333336
VEN0106,Preferred Service Vendor 106,Standard,105,455360,8.50895238095238,0.9386047619047619,62,59.04761904761905
VEN0107,Preferred Service Vendor 107,Strategic,105,460277,13.221333333333334,0.8909619047619047,64,60.952380952380956
VEN0108,Preferred Service Vendor 108,Strategic,105,423662,12.814571428571428,0.9094619047619047,62,59.04761904761905
VEN0109,Preferred Service Vendor 109,Preferred,105,449954,4.236761904761905,0.9615666666666667,61,58.0952380952381
VEN0110,Preferred Service Vendor 110,Preferred,105,463683,13.193333333333333,0.8976000000000001,64,60.952380952380956
VEN0111,Preferred Service Vendor 111,Preferred,105,431338,13.462761904761903,0.8793761904761905,69,65.71428571428571
VEN0112,Preferred Service Vendor 112,Preferred,105,424397,2.278095238095238,0.9719904761904762,63,60.0
VEN0113,Preferred Service Vendor 113,Preferred,105,442064,27.296,0.7787190476190476,67,63.8095238095238
VEN0114,Preferred Service Vendor 114,Standard,105,451769,2.3123809523809524,0.9701238095238095,68,64.76190476190476
VEN0115,Preferred Service Vendor 115,Strategic,105,435258,8.545904761904762,0.9359619047619048,56,53.333333333333336
VEN0116,Preferred Service Vendor 116,Strategic,105,449271,25.361809523809526,0.8252571428571429,58,55.23809523809524
VEN0117,Preferred Service Vendor 117,Preferred,105,431351,8.536190476190475,0.9410809523809525,63,60.0
VEN0118,Preferred Service Vendor 118,Preferred,105,452661,25.93790476190476,0.800352380952381,61,58.0952380952381
VEN0119,Preferred Service Vendor 119,Preferred,105,473736,4.281428571428571,0.9670571428571428,61,58.0952380952381
VEN0120,Preferred Service Vendor 120,Preferred,105,427582,8.476285714285714,0.9426952380952381,57,54.285714285714285
