week_start,events,handling_minutes,avg_response_hours,sla_breaches,escalations,revenue_impact,sla_breach_rate_pct
2023-11-20,2905,102353.6,7.8741480206540455,505,254,650198.01,17.38382099827883
2023-11-27,2885,102652.0,7.816277296360485,483,221,603485.39,16.741767764298093
2023-12-04,2855,98419.5,7.902798598949213,522,215,630116.8,18.28371278458844
2023-12-11,2907,99808.6,7.879246646026832,510,263,647330.21,17.543859649122805
2023-12-18,2878,99054.9,7.868353022932592,507,237,636625.77,17.61640027797081
2023-12-25,2816,95328.3,7.834328835227273,495,244,623618.55,17.578125
2024-01-01,2895,100761.2,7.98473920552677,534,251,663917.56,18.44559585492228
2024-01-08,2860,98952.7,7.853811188811189,497,237,622993.77,17.37762237762238
2024-01-15,2858,98581.6,8.046920923722883,530,224,646513.69,18.5444366689993
2024-01-22,2887,101645.1,7.825923103567717,496,227,632682.92,17.1804641496363
2024-01-29,2986,102480.8,8.02529470864032,537,253,673666.16,17.98392498325519
2024-02-05,2895,103382.2,8.041661485319517,520,256,655721.16,17.962003454231436
2024-02-12,2883,98905.0,7.832750607006591,489,231,668551.83,16.96149843912591
2024-02-19,2919,101020.2,8.071171634121274,551,242,646221.24,18.876327509421035
2024-02-26,2878,97287.1,8.15712300208478,571,262,660467.37,19.840166782487838
2024-03-04,2965,101802.8,8.099929173693086,545,236,661249.81,18.381112984822934
2024-03-11,2821,98770.6,7.88649415101028,485,250,608589.6900000001,17.192484934420417
2024-03-18,2861,98511.9,7.970545263893744,511,247,618317.89,17.860887801468017
2024-03-25,2926,98176.7,8.052207792207792,539,246,706722.75,18.421052631578945
2024-04-01,2841,98497.7,7.8507884547694475,491,247,657345.39,17.28264695529743
2024-04-08,2853,101309.4,7.8996214511041005,502,242,662343.87,17.595513494567122
2024-04-15,2934,102598.1,7.9140218132242675,546,208,682989.54,18.609406952965234
2024-04-22,2833,97956.1,7.94856689022238,503,221,623452.38,17.755030003529825
2024-04-29,2899,99591.7,8.233984132459469,567,265,648325.89,19.558468437392204
2024-05-06,2865,99631.8,8.152952879581152,519,239,614393.49,18.1151832460733
2024-05-13,2908,99553.7,7.967035763411279,500,236,645236.2,17.1939477303989
2024-05-20,2844,99192.6,7.908066104078762,526,239,601579.86,18.49507735583685
2024-05-27,2813,99807.0,7.76215783860647,490,242,610032.11,17.41912548880199
2024-06-03,2920,102331.6,8.053393835616438,552,291,635847.29,18.904109589041095
2024-06-10,2916,104582.7,7.835545267489712,496,253,679883.97,17.00960219478738
2024-06-17,2820,97629.7,8.12367730496454,552,249,625012.73,19.574468085106382
2024-06-24,2906,100787.0,8.117178251892636,534,264,673166.0,18.375774260151413
2024-07-01,2908,100883.1,7.858411279229711,490,224,665906.29,16.850068775790923
2024-07-08,2907,100670.9,7.92172686618507,529,221,646999.01,18.197454420364636
2024-07-15,2795,96915.5,8.052872987477638,513,241,618447.88,18.354203935599283
2024-07-22,2785,93120.6,7.737928186714543,448,238,607945.99,16.08617594254937
2024-07-29,2854,99689.5,7.885122634898388,482,256,654747.85,16.888577435178696
2024-08-05,2804,96146.9,8.074415121255349,511,235,654272.92,18.223965763195434
2024-08-12,2817,95423.4,8.002602058927938,499,262,625775.76,17.713880014199503
2024-08-19,2836,97040.4,7.9375,507,251,614515.38,17.87729196050776
2024-08-26,2883,99762.0,7.922063822407215,509,244,637706.19,17.655220256677072
2024-09-02,2987,103985.9,7.968178774690325,545,262,695430.32,18.245731503180448
2024-09-09,2865,97950.5,8.108167539267017,523,233,642963.57,18.25479930191972
2024-09-16,2742,93961.0,7.697246535375638,480,208,600276.29,17.505470459518598
2024-09-23,2828,96108.2,7.736686704384724,468,230,637378.66,16.548797736916548
2024-09-30,2908,100042.8,7.99457015130674,526,212,660391.0,18.088033012379643
2024-10-07,2868,97873.1,7.959975592747559,511,232,620312.05,17.817294281729428
2024-10-14,2890,99846.5,7.686439446366783,477,218,652036.19,16.505190311418687
2024-10-21,3003,104634.5,7.9502331002331,534,260,695414.96,17.78221778221778
2024-10-28,2856,98793.2,7.96374299719888,540,249,633053.0,18.907563025210084
2024-11-04,2856,100778.3,7.909096638655463,486,220,667821.44,17.016806722689076
2024-11-11,2830,97315.2,7.878300353356891,483,258,652571.91,17.06713780918728
2024-11-18,2834,97599.1,7.8114714184897664,490,221,608304.95,17.290049400141143
2024-11-25,2925,100873.5,7.911094017094017,522,231,657622.69,17.846153846153847
2024-12-02,2939,101099.9,7.964892820687308,523,281,670497.2,17.79516842463423
2024-12-09,2896,99072.7,7.830697513812155,510,258,651538.71,17.61049723756906
2024-12-16,2903,99105.8,8.029917326903202,534,256,648861.32,18.394764037202894
2024-12-23,2886,99236.2,8.269060984060983,529,228,612067.01,18.32986832986833
2024-12-30,406,14236.1,7.515960591133005,69,38,98154.72,16.995073891625616
