consultant_id,consultant_name,vertical_id,vertical_name,weeks,avg_utilization,avg_profitability,requests_handled,revenue,profit,cost,requests_per_week,profit_per_week,capacity_status
CONT038,Global Advisor 038,V02,North America,105,0.7590638095238096,0.13674285714285714,225893,22644384.67,3078587.79,19565796.88,2151.361904761905,29319.883714285716,Underutilized
CONT039,Global Advisor 039,V07,Australia,105,0.7614009523809524,0.10001714285714285,219724,22366981.43,2231321.98,20135659.45,2092.609523809524,21250.685523809523,Underutilized
CONT040,Global Advisor 040,V04,Middle East,105,0.7779885714285715,0.09014761904761905,229385,23608145.16,2125966.66,21482178.5,2184.6190476190477,20247.301523809525,Underutilized
CONT041,Global Advisor 041,V07,Australia,105,0.7986666666666666,0.09916666666666667,233476,23904874.81,2382030.24,21522844.57,2223.5809523809526,22686.002285714287,Underutilized
CONT042,Global Advisor 042,V10,Nordics,105,0.8021285714285714,0.10068761904761905,226838,23652429.09,2388812.16,21263616.93,2160.361904761905,22750.592,Healthy
CONT043,Global Advisor 043,V08,Canada,105,0.7735990476190476,0.08974571428571428,231534,24266373.36,2168720.94,22097652.42,2205.0857142857144,20654.485142857142,Underutilized
CONT044,Global Advisor 044,V05,APAC,105,0.7528133333333333,0.1102295238095238,239347,25541248.99,2808529.22,22732719.77,2279.495238095238,26747.897333333334,Underutilized
CONT045,Global Advisor 045,V02,North America,105,0.7656038095238096,0.13766666666666666,235298,23847358.59,3281420.21,20565938.38,2240.9333333333334,31251.621047619046,Underutilized
CONT046,Global Advisor 046,V06,India,105,0.7786066666666667,0.07963619047619049,229952,23275356.86,1860341.52,21415015.34,2190.019047619048,17717.538285714287,Underutilized
CONT047,Global Advisor 047,V03,Europe,105,0.7972390476190476,0.09841904761904761,241145,24285826.6,2391262.28,21894564.32,2296.6190476190477,22773.926476190474,Underutilized
CONT048,Global Advisor 048,V01,Latin America,105,0.7920257142857143,0.10611904761904761,234043,24301364.3,2568346.87,21733017.43,2228.980952380952,24460.44638095238,Underutilized
CONT049,Global Advisor 049,V03,Europe,105,0.7569761904761905,0.10095809523809524,237418,24499004.86,2481640.7600000002,22017364.1,2261.1238095238095,23634.67390476191,Underutilized
CONT050,Global Advisor 050,V04,Middle East,105,0.7829952380952381,0.08964190476190476,228490,23262168.2,2080238.71,21181929.49,2176.095238095238,19811.797238095238,Underutilized
CONT051,Global Advisor 051,V05,APAC,105,0.784072380952381,0.11217523809523809,237859,24278704.81,2722828.57,21555876.24,2265.3238095238094,25931.700666666664,Underutilized
CONT052,Global Advisor 052,V09,Africa,105,0.7643171428571428,0.07201714285714285,229664,23706314.82,1715930.29,21990384.53,2187.2761904761905,16342.193238095238,Underutilized
CONT053,Global Advisor 053,V07,Australia,105,0.7614571428571428,0.09892095238095237,223783,22592991.77,2237330.45,20355661.32,2131.266666666667,21307.90904761905,Underutilized
CONT054,Global Advisor 054,V12,Enterprise,105,0.7665304761904761,0.11900095238095239,228785,23861905.23,2837772.33,21024132.9,2178.904761904762,27026.403142857143,Underutilized
CONT055,Global Advisor 055,V01,Latin America,105,0.7771333333333333,0.10784476190476192,236817,24718570.11,2645513.85,22073056.26,2255.4,25195.370000000003,Underutilized
CONT056,Global Advisor 056,V02,North America,105,0.818372380952381,0.1353447619047619,233189,24272974.48,3274226.23,20998748.25,2220.847619047619,31183.106952380953,Healthy
CONT057,Global Advisor 057,V04,Middle East,105,0.7881742857142857,0.09002285714285715,233620,23134118.7,2097574.36,21036544.34,2224.9523809523807,19976.898666666664,Underutilized
CONT058,Global Advisor 058,V11,Southeast Asia,105,0.7712523809523809,0.08957809523809523,232822,23800184.46,2126223.13,21673961.33,2217.352380952381,20249.744095238093,Underutilized
CONT059,Global Advisor 059,V08,Canada,105,0.77694,0.09099142857142857,231806,24995172.169999998,2272249.69,22722922.48,2207.6761904761906,21640.473238095237,Underutilized
CONT060,Global Advisor 060,V04,Middle East,105,0.7838580952380952,0.08956,226601,22820511.38,2051739.36,20768772.02,2158.1047619047617,19540.37485714286,Underutilized
CONT061,Global Advisor 061,V06,India,105,0.7683885714285714,0.08049238095238095,226436,22189766.68,1785706.6,20404060.08,2156.5333333333333,17006.729523809525,Underutilized
CONT062,Global Advisor 062,V09,Africa,105,0.7805209523809524,0.0693,236559,24312336.43,1671747.68,22640588.75,2252.942857142857,15921.406476190476,Underutilized
CONT063,Global Advisor 063,V03,Europe,105,0.7718990476190477,0.10109714285714286,236391,24064632.5,2442264.95,21622367.55,2251.342857142857,23259.666190476193,Underutilized
CONT064,Global Advisor 064,V06,India,105,0.7819790476190476,0.08063904761904762,232042,23492999.47,1895008.25,21597991.22,2209.9238095238097,18047.69761904762,Underutilized
CONT065,Global Advisor 065,V04,Middle East,105,0.7779228571428571,0.09013619047619047,231130,23854025.05,2145981.17,21708043.88,2201.2380952380954,20437.915904761903,Underutilized
CONT066,Global Advisor 066,V04,Middle East,105,0.7990304761904762,0.0902447619047619,237930,25029114.61,2251100.83,22778013.78,2266.0,21439.055523809526,Underutilized
CONT067,Global Advisor 067,V11,Southeast Asia,105,0.7998171428571429,0.09045333333333333,229271,23908205.46,2155675.1,21752530.36,2183.5333333333333,20530.23904761905,Underutilized
CONT068,Global Advisor 068,V12,Enterprise,105,0.7845209523809524,0.1211895238095238,230205,23611534.56,2855478.18,20756056.38,2192.4285714285716,27195.03028571429,Underutilized
CONT069,Global Advisor 069,V06,India,105,0.786067619047619,0.07884761904761904,237040,24551953.02,1939686.22,22612266.8,2257.5238095238096,18473.202095238095,Underutilized
CONT070,Global Advisor 070,V12,Enterprise,105,0.789772380952381,0.12006761904761906,236922,24844937.1,2991160.98,21853776.12,2256.4,28487.247428571427,Underutilized
CONT071,Global Advisor 071,V10,Nordics,105,0.7764114285714286,0.09934476190476191,224086,23117502.11,2291810.2,20825691.91,2134.152380952381,21826.76380952381,Underutilized
CONT072,Global Advisor 072,V03,Europe,105,0.7674599999999999,0.09920571428571429,218267,21671223.67,2161146.08,19510077.59,2078.733333333333,20582.34361904762,Underutilized
CONT073,Global Advisor 073,V02,North America,105,0.7814399999999999,0.13903238095238096,235650,24734898.37,3393919.86,21340978.51,2244.285714285714,32323.046285714285,Underutilized
CONT074,Global Advisor 074,V05,APAC,105,0.7670457142857143,0.11188952380952381,228211,23699175.71,2670590.99,21028584.72,2173.4380952380952,25434.199904761907,Underutilized
CONT075,Global Advisor 075,V09,Africa,105,0.770412380952381,0.07009619047619048,222582,23067889.33,1616318.91,21451570.42,2119.8285714285716,15393.513428571428,Underutilized
CONT076,Global Advisor 076,V05,APAC,105,0.7918095238095239,0.10721904761904763,223420,23264156.89,2489181.4,20774975.49,2127.809523809524,23706.489523809523,Underutilized
CONT077,Global Advisor 077,V04,Middle East,105,0.7782942857142857,0.08959333333333333,221679,23172243.67,2070858.75,21101384.92,2111.2285714285713,19722.464285714286,Underutilized
CONT078,Global Advisor 078,V06,India,105,0.797,0.08122095238095238,230947,23677630.28,1921194.9,21756435.38,2199.495238095238,18297.094285714284,Underutilized
CONT079,Global Advisor 079,V05,APAC,105,0.7552342857142857,0.1098247619047619,246271,25286635.66,2780755.48,22505880.18,2345.4380952380952,26483.385523809524,Underutilized
CONT080,Global Advisor 080,V03,Europe,105,0.78834,0.10011523809523809,226260,22945516.59,2295085.88,20650430.71,2154.8571428571427,21857.96076190476,Underutilized
CONT081,Global Advisor 081,V02,North America,105,0.761527619047619,0.13773904761904762,227169,23723507.86,3261123.63,20462384.23,2163.5142857142855,31058.320285714286,Underutilized
CONT082,Global Advisor 082,V09,Africa,105,0.7825161904761904,0.0705704761904762,231343,23730028.41,1665802.75,22064225.66,2203.266666666667,15864.788095238095,Underutilized
CONT083,Global Advisor 083,V02,North America,105,0.7829533333333333,0.13848285714285713,239380,24589633.919999998,3404349.53,21185284.39,2279.809523809524,32422.376476190475,Underutilized
CONT084,Global Advisor 084,V10,Nordics,105,0.7785304761904762,0.0996704761904762,242649,25140501.46,2514805.73,22625695.73,2310.942857142857,23950.530761904763,Underutilized
CONT085,Global Advisor 085,V05,APAC,105,0.7686771428571428,0.11034571428571428,228845,24015155.7,2645967.02,21369188.68,2179.4761904761904,25199.685904761904,Underutilized
CONT086,Global Advisor 086,V02,North America,105,0.7742980952380952,0.13704285714285713,242334,25695354.31,3503099.25,22192255.06,2307.942857142857,33362.85,Underutilized
CONT087,Global Advisor 087,V09,Africa,105,0.7866371428571429,0.07205809523809524,231093,23335646.3,1678392.16,21657254.14,2200.885714285714,15984.687238095237,Underutilized
CONT088,Global Advisor 088,V07,Australia,105,0.7619533333333334,0.09839809523809523,229755,24030542.67,2368023.39,21662519.28,2188.1428571428573,22552.603714285717,Underutilized
CONT089,Global Advisor 089,V12,Enterprise,105,0.7638095238095238,0.12160380952380952,238659,25703201.77,3120042.21,22583159.56,2272.942857142857,29714.687714285716,Underutilized
CONT090,Global Advisor 090,V03,Europe,105,0.7833161904761905,0.09998190476190477,230515,23451148.97,2332944.06,21118204.91,2195.3809523809523,22218.514857142858,Underutilized
CONT091,Global Advisor 091,V05,APAC,105,0.7659657142857142,0.11062857142857142,233552,24260828.88,2685343.94,21575484.94,2224.304761904762,25574.70419047619,Underutilized
CONT092,Global Advisor 092,V08,Canada,105,0.7679,0.09101238095238096,236514,24064667.62,2182498.54,21882169.08,2252.5142857142855,20785.70038095238,Underutilized
CONT093,Global Advisor 093,V04,Middle East,105,0.7854647619047619,0.08954190476190475,227505,22779582.83,2036524.15,20743058.68,2166.714285714286,19395.468095238095,Underutilized
CONT094,Global Advisor 094,V02,North America,105,0.7683152380952382,0.13658285714285714,220039,21908525.46,2965877.08,18942648.38,2095.609523809524,28246.44838095238,Underutilized
CONT095,Global Advisor 095,V03,Europe,105,0.7597200000000001,0.09960285714285713,233581,23698042.99,2350637.2,21347405.79,2224.5809523809526,22387.020952380954,Underutilized
CONT096,Global Advisor 096,V12,Enterprise,105,0.7995942857142858,0.11884952380952381,230800,23342532.39,2772782.39,20569750.0,2198.095238095238,26407.451333333334,Underutilized
CONT097,Global Advisor 097,V03,Europe,105,0.8071400000000001,0.10047333333333333,217232,22383662.11,2235238.95,20148423.16,2068.8761904761905,21287.99,Healthy
CONT098,Global Advisor 098,V08,Canada,105,0.7639038095238095,0.08911523809523811,231018,23505335.55,2081003.3,21424332.25,2200.1714285714284,19819.07904761905,Underutilized
CONT099,Global Advisor 099,V01,Latin America,105,0.7592104761904762,0.10769619047619047,238960,24029733.28,2610389.52,21419343.76,2275.809523809524,24860.85257142857,Underutilized
CONT100,Global Advisor 100,V05,APAC,105,0.7825,0.11258285714285714,230533,23682482.79,2664510.07,21017972.72,2195.552380952381,25376.28638095238,Underutilized
