consultant_id,consultant_name,vertical_name,avg_utilization,requests_handled,profit,events,handling_minutes,avg_handling_minutes,sla_breaches,events_per_handled_request
CONT020,Global Advisor 020,Middle East,0.7856561904761904,229463,2168562.09,2932,101931.4,34.76514324693042,538,0.01277765914330415
CONT021,Global Advisor 021,APAC,0.80674,226616,2479487.54,3029,103459.6,34.15635523275009,575,0.013366223038090867
CONT022,Global Advisor 022,North America,0.7910742857142856,234816,3114663.55,3021,102692.2,33.99278384640847,564,0.01286539247751431
CONT023,Global Advisor 023,Southeast Asia,0.7667971428571428,234775,2112773.64,3026,102405.1,33.84173826834105,556,0.012888936215525504
CONT024,Global Advisor 024,Australia,0.7632647619047619,232014,2380008.0,3016,105717.3,35.05215517241379,526,0.012999215564578
CONT025,Global Advisor 025,Europe,0.7962933333333333,232706,2365120.66,2996,105469.4,35.20340453938584,561,0.012874614320215208
CONT026,Global Advisor 026,APAC,0.7671390476190476,229859,2543793.94,2967,101217.3,34.114357937310416,501,0.01290791311195124
CONT027,Global Advisor 027,Africa,0.7661761904761905,237801,1705430.56,3081,105497.0,34.24115546900357,548,0.012956211285907125
CONT028,Global Advisor 028,India,0.7756066666666667,235360,1930461.9,3018,104403.8,34.59370444002651,563,0.012822909585316112
CONT029,Global Advisor 029,Australia,0.7839161904761904,239085,2500996.33,2982,103815.3,34.81398390342052,548,0.012472551602986385
CONT030,Global Advisor 030,Europe,0.7917219047619047,232368,2394694.98,2976,103817.5,34.8849126344086,493,0.012807271224953521
CONT031,Global Advisor 031,Canada,0.775027619047619,231748,2089606.08,2953,102188.5,34.60497798848628,531,0.012742289038093102
CONT032,Global Advisor 032,Middle East,0.7693657142857143,231911,2190773.13,2945,100594.5,34.15772495755518,555,0.012698837053869804
CONT033,Global Advisor 033,Europe,0.7840933333333334,233778,2464518.34,3016,103859.2,34.43607427055703,555,0.012901128420980588
CONT034,Global Advisor 034,Africa,0.7794895238095239,241319,1766995.53,3088,107655.7,34.86259715025906,531,0.0127963401141228
CONT035,Global Advisor 035,APAC,0.7618771428571429,224545,2463173.94,2994,104552.3,34.92060788243153,515,0.013333630230020708
CONT036,Global Advisor 036,APAC,0.8052561904761905,239093,2793902.61,3014,104980.8,34.83105507631055,563,0.012605973407837118
CONT037,Global Advisor 037,North America,0.7778495238095238,236441,3354840.09,3006,104297.9,34.69657351962741,519,0.012713531071176318
CONT038,Global Advisor 038,North America,0.7590638095238096,225893,3078587.79,2982,102631.8,34.41710261569417,533,0.013200940268180068
CONT039,Global Advisor 039,Australia,0.7614009523809524,219724,2231321.98,3048,107820.1,35.374048556430445,533,0.01387194844441208
CONT040,Global Advisor 040,Middle East,0.7779885714285715,229385,2125966.66,3055,106439.7,34.84114566284779,530,0.013318220459053556
CONT041,Global Advisor 041,Australia,0.7986666666666666,233476,2382030.24,2969,101715.2,34.25907713034692,523,0.012716510476451542
CONT042,Global Advisor 042,Nordics,0.8021285714285714,226838,2388812.16,2948,102844.6,34.88622795115332,479,0.012996058861390066
CONT043,Global Advisor 043,Canada,0.7735990476190476,231534,2168720.94,2943,100838.4,34.2638124362895,587,0.012710876156417632
CONT044,Global Advisor 044,APAC,0.7528133333333333,239347,2808529.22,2989,102281.8,34.21940448310472,559,0.01248814482738451
CONT045,Global Advisor 045,North America,0.7656038095238096,235298,3281420.21,2962,102953.0,34.75793382849426,533,0.012588292293177162
CONT046,Global Advisor 046,India,0.7786066666666667,229952,1860341.52,3057,105715.1,34.581321557082106,534,0.013294078764263846
CONT047,Global Advisor 047,Europe,0.7972390476190476,241145,2391262.28,2989,103964.6,34.78240214118434,545,0.012395032034667939
CONT048,Global Advisor 048,Latin America,0.7920257142857143,234043,2568346.87,3030,104903.9,34.62174917491749,585,0.012946338920625697
CONT049,Global Advisor 049,Europe,0.7569761904761905,237418,2481640.7600000002,2999,104031.0,34.68856285428476,542,0.012631729691935743
CONT050,Global Advisor 050,Middle East,0.7829952380952381,228490,2080238.71,2940,103639.7,35.25159863945578,541,0.01286708389863889
CONT051,Global Advisor 051,APAC,0.784072380952381,237859,2722828.57,3037,104864.3,34.528910108659865,507,0.012768068477543418
CONT052,Global Advisor 052,Africa,0.7643171428571428,229664,1715930.29,2977,102940.5,34.57860262008734,523,0.01296241465793507
CONT053,Global Advisor 053,Australia,0.7614571428571428,223783,2237330.45,2949,103034.1,34.938657171922685,524,0.013177944705361891
CONT054,Global Advisor 054,Enterprise,0.7665304761904761,228785,2837772.33,3111,105585.2,33.93931211828994,541,0.013597919444019495
CONT055,Global Advisor 055,Latin America,0.7771333333333333,236817,2645513.85,3034,105224.8,34.68187211601846,587,0.012811580249728694
CONT056,Global Advisor 056,North America,0.818372380952381,233189,3274226.23,3062,103839.5,33.91231221423906,567,0.0131309795916617
CONT057,Global Advisor 057,Middle East,0.7881742857142857,233620,2097574.36,3008,103282.0,34.33577127659574,522,0.012875609964900265
CONT058,Global Advisor 058,Southeast Asia,0.7712523809523809,232822,2126223.13,2986,102066.9,34.18181513730743,528,0.01282524847308244
CONT059,Global Advisor 059,Canada,0.77694,231806,2272249.69,2950,102308.1,34.68071186440678,506,0.012726158943254273
CONT060,Global Advisor 060,Middle East,0.7838580952380952,226601,2051739.36,2962,102453.9,34.58943281566509,537,0.013071433930123874
CONT061,Global Advisor 061,India,0.7683885714285714,226436,1785706.6,2969,105175.7,35.42462108454025,527,0.01311187267042343
CONT062,Global Advisor 062,Africa,0.7805209523809524,236559,1671747.68,2967,104027.8,35.06161105493765,488,0.012542325593192396
CONT063,Global Advisor 063,Europe,0.7718990476190477,236391,2442264.95,3011,102489.7,34.038425772168715,546,0.012737371558138847
CONT064,Global Advisor 064,India,0.7819790476190476,232042,1895008.25,3093,106119.9,34.309699321047525,529,0.013329483455581317
CONT065,Global Advisor 065,Middle East,0.7779228571428571,231130,2145981.17,2947,102690.8,34.845877163216834,501,0.012750400207675334
CONT066,Global Advisor 066,Middle East,0.7990304761904762,237930,2251100.83,2997,103312.1,34.47183850517184,512,0.012596141722355314
CONT067,Global Advisor 067,Southeast Asia,0.7998171428571429,229271,2155675.1,2920,101112.5,34.62756849315068,509,0.012736019819340432
CONT068,Global Advisor 068,Enterprise,0.7845209523809524,230205,2855478.18,2961,101933.8,34.42546437014522,573,0.012862448687039812
CONT069,Global Advisor 069,India,0.786067619047619,237040,1939686.22,2973,103167.4,34.70144635048772,526,0.012542186972662841
CONT070,Global Advisor 070,Enterprise,0.789772380952381,236922,2991160.98,2968,101516.9,34.20380727762803,519,0.012527329669680317
CONT071,Global Advisor 071,Nordics,0.7764114285714286,224086,2291810.2,3012,102959.5,34.183100929614874,519,0.013441268084574673
CONT072,Global Advisor 072,Europe,0.7674599999999999,218267,2161146.08,3134,107648.4,34.34856413529036,529,0.014358560845203351
CONT073,Global Advisor 073,North America,0.7814399999999999,235650,3393919.86,2946,99989.3,33.940699253224714,535,0.01250159134309357
CONT074,Global Advisor 074,APAC,0.7670457142857143,228211,2670590.99,3146,110607.7,35.158200890019074,548,0.013785487991376402
CONT075,Global Advisor 075,Africa,0.770412380952381,222582,1616318.91,2961,101537.9,34.29175954069571,515,0.0133029625037065
CONT076,Global Advisor 076,APAC,0.7918095238095239,223420,2489181.4,2959,102879.0,34.76816492058128,516,0.013244114224330857
CONT077,Global Advisor 077,Middle East,0.7782942857142857,221679,2070858.75,3057,106401.0,34.805691854759566,568,0.013790210168757528
CONT078,Global Advisor 078,India,0.797,230947,1921194.9,2995,104597.1,34.923906510851424,539,0.012968343386144873
CONT079,Global Advisor 079,APAC,0.7552342857142857,246271,2780755.48,3041,105324.2,34.63472541926998,567,0.012348185535446723
CONT080,Global Advisor 080,Europe,0.78834,226260,2295085.88,3025,104557.4,34.56442975206611,526,0.01336957482542208
CONT081,Global Advisor 081,North America,0.761527619047619,227169,3261123.63,3178,110121.7,34.65125865324103,621,0.013989584846523953
CONT082,Global Advisor 082,Africa,0.7825161904761904,231343,1665802.75,3007,102820.1,34.193581642833394,540,0.012998015933051789
CONT083,Global Advisor 083,North America,0.7829533333333333,239380,3404349.53,3046,105398.6,34.60229809586343,516,0.012724538390843011
CONT084,Global Advisor 084,Nordics,0.7785304761904762,242649,2514805.73,3065,104892.3,34.2226101141925,546,0.01263141410020235
CONT085,Global Advisor 085,APAC,0.7686771428571428,228845,2645967.02,2952,104141.2,35.27818428184282,509,0.012899560838121873
CONT086,Global Advisor 086,North America,0.7742980952380952,242334,3503099.25,3093,106224.5,34.34351762043324,539,0.012763376166778083
CONT087,Global Advisor 087,Africa,0.7866371428571429,231093,1678392.16,2937,101047.7,34.405073203949605,515,0.012709169035842714
CONT088,Global Advisor 088,Australia,0.7619533333333334,229755,2368023.39,2918,101331.7,34.72642220699109,505,0.012700485299558225
CONT089,Global Advisor 089,Enterprise,0.7638095238095238,238659,3120042.21,2916,102010.0,34.98285322359396,516,0.012218269581285432
CONT090,Global Advisor 090,Europe,0.7833161904761905,230515,2332944.06,2959,102317.1,34.57826968570463,541,0.012836474849792855
CONT091,Global Advisor 091,APAC,0.7659657142857142,233552,2685343.94,3011,102227.8,33.95144470275656,512,0.012892203877509077
CONT092,Global Advisor 092,Canada,0.7679,236514,2182498.54,2991,101523.1,33.94286191909061,535,0.012646185849463457
CONT093,Global Advisor 093,Middle East,0.7854647619047619,227505,2036524.15,3038,107193.5,35.284233048057935,532,0.013353552669172106
CONT094,Global Advisor 094,North America,0.7683152380952382,220039,2965877.08,2976,101162.6,33.992809139784946,539,0.013524875135771386
CONT095,Global Advisor 095,Europe,0.7597200000000001,233581,2350637.2,2968,104937.8,35.356401617250675,506,0.012706512944117886
CONT096,Global Advisor 096,Enterprise,0.7995942857142858,230800,2772782.39,2964,101867.6,34.36828609986505,502,0.012842287694974003
CONT097,Global Advisor 097,Europe,0.8071400000000001,217232,2235238.95,2953,104067.5,35.24128005418219,526,0.01359376150843338
CONT098,Global Advisor 098,Canada,0.7639038095238095,231018,2081003.3,2899,98898.6,34.11472921697137,516,0.012548805720766347
CONT099,Global Advisor 099,Latin America,0.7592104761904762,238960,2610389.52,3012,105206.4,34.929083665338645,526,0.012604620020087044
CONT100,Global Advisor 100,APAC,0.7825,230533,2664510.07,3127,107437.2,34.35791493444196,562,0.01356421857174461
